,Name,AddressLine1,AddressLine2,AddressLine3,City,State,ZipCode,DesignatorCode,CertificateHoldingOffice,CertificateNumber,AccessoryRatingClass1,AccessoryRatingClass2,AccessoryRatingClass3,AccessoryRatingLimited,AirframeRatingClass1,AirframeRatingClass2,AirframeRatingClass3,AirframeRatingClass4,AirframeRatingLimited,InstrumentRatingClass1,InstrumentRatingClass2,InstrumentRatingClass3,InstrumentRatingClass4,InstrumentRatingLimited,PowerplantRatingClass1,PowerplantRatingClass2,PowerplantRatingClass3,PowerplantRatingLimited,PropellerRating1,PropellerRating2,PropellerRatingLimited,RadioRatingClass1,RadioRatingClass2,RadioRatingClass3,RadioRatingLimited,LimitedRatingEquipment,LimitedRatingAircraftFabric,LimitedRatingNonDestructiveTst,LimitedRatingFloats,LimitedRatingSpecializedServic,LimitedRatingRotorBlades,LimitedRatingLandingGear,Status,Original_Issue_Date,EASA_Certificate_Number,EASA_Expiration_Date,Certificated_Mechanics,Repairmen,Non_Certificated,Total_Employees,coords,lat,long
206,IAG ENGINE CENTER LLC                             ,6929 NW 46 STREET                  ,BAY 2                              ,                                   ,MIAMI                 ,FL,33166,2IER,SO19,2IER132C,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 30-OCT-2009,  6794        ,  10-JAN-2022,13.0,0.0,6.0,35.0,"(25.82295013345299, -80.3049405890778)",25.82295013345299,-80.3049405890778
207,PANASONIC AVIONICS CORPORATION                    ,975 Busse Road                     ,                                   ,                                   ,Elk Grove Village     ,IL,60007,2IFR,GL03,2IFR277D,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 21-MAR-2018, , ,21.0,0.0,2.0,26.0,"(42.0224699, -87.9640674)",42.0224699,-87.9640674
208,IAG ENGINE CENTER FIELD SERVICES LLC              ,734 W Carrier Pkwy                 ,                                   ,                                   ,Grand Prairie         ,TX,75050,2IGR,SW19,2IGR621D,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 3-DEC-2019, , ,7.0,0.0,0.0,10.0,"(32.8092571, -97.0542994)",32.8092571,-97.0542994
209,IHI-ICR LLC                                       ,330 INDUSTRIAL COURT WEST          ,                                   ,                                   ,VILLA RICA            ,GA,30180,2IHR,SO11,2IHR067C,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 20-JUL-2012,  6529        ,  13-DEC-2021,1.0,2.0,22.0,25.0,"(33.7312793, -84.92076093783342)",33.7312793,-84.92076093783342
210,INNOVATIVE PLATING TECHNOLOGIES                   ,15009 WADE BOULEVARD               ,                                   ,                                   ,NORTH LITTLE ROCK     ,AR,72113,2IPR,SW11,2IPR107C,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N, ACTIVE            , 6-NOV-2012, , ,0.0,1.0,1.0,2.0,"(34.85728888140999, -92.40432074993217)",34.85728888140999,-92.40432074993217
211,INTEGRATED QUALITY SERVICES                       ,1236 W. BROOKS STREET              ,                                   ,                                   ,ONTARIO               ,CA,91762,2IQR,WP21,2IQR997B,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N, ACTIVE            , 16-FEB-2012,  4159        ,  2-APR-2019,0.0,6.0,4.0,22.0,"(34.0557506, -117.6610004)",34.0557506,-117.6610004
212,INSEAT SOLUTIONS LLC                              ,1871 Wright Ave.                   ,                                   ,                                   ,La Verne              ,CA,91750,2IRR,WP23,2IRR032D,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 1-DEC-2017, , ,0.0,3.0,0.0,5.0,"(34.11482018086431, -117.77155782788608)",34.11482018086431,-117.77155782788608
213,INTERNATIONAL TURBINE INDUSTRIES                  ,2890 TYLER ROAD                    ,                                   ,                                   ,YPSILANTI             ,MI,48198,2ITR,GL23,2ITR324B,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N, ACTIVE            , 8-JAN-2009,  6645        ,  5-AUG-2019,4.0,0.0,3.0,8.0,"(42.2582469, -83.6261971)",42.2582469,-83.6261971
214,JOHNSON AVIATION                                  ,Standard Field Airport             ,805 Airport Road                   ,                                   ,Elkton                ,KY,42220,2JOR,CE17,2JOR594D,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 2-AUG-2019, , ,1.0,0.0,0.0,1.0,"(36.86799385150187, -87.165798774327)",36.86799385150187,-87.165798774327
215,JET TEC INC                                       ,6540 Highland Road Hanger 1        ,                                   ,                                   ,WATERFORD             ,MI,48327,2JTR,GL23,2JTR585B,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 7-NOV-2011, , ,2.0,0.0,0.0,4.0,"(42.6578646, -83.39932)",42.6578646,-83.39932
216,JAG AVIATION INC                                  ,357 McGregor Airport Rd.           ,                                   ,                                   ,Mcgregor              ,TX,76657,2JVR,SW19,2JVR917C,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 4-OCT-2016, , ,2.0,3.0,0.0,7.0,"(31.433883713461057, -97.3945057636796)",31.433883713461057,-97.3945057636796
217,JETEXE AVIATION CORPORATION                       ,6273 FREEPORT BLVD                 ,                                   ,                                   ,SACRAMENTO            ,CA,95822,2JXR,WP25,2JXR245C,N,N,N,Y,Y,N,Y,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N, ACTIVE            , 5-MAR-2014, , ,3.0,0.0,0.0,9.0,"(38.52655033630361, -121.50206148742821)",38.52655033630361,-121.50206148742821
218,KUBICK AVIATION SERVICES INC                      ,250 RIVERHILLS ROAD                ,                                   ,                                   ,KINGSFORD             ,MI,49802,2KAR,GL09,2KAR596C,N,N,N,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,Y,N,Y,N,N,N,N,N,N,N, ACTIVE            , 5-MAR-2015, , ,7.0,0.0,2.0,10.0,"(45.801859007310185, -88.08418768238414)",45.801859007310185,-88.08418768238414
219,K AND L SOARING LLC                               ,5996 STATE ROUTE 224               ,                                   ,                                   ,CAYUTA                ,NY,14824,2KLR,EA23,2KLR185B,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 26-MAY-2011, , ,8.0,2.0,0.0,20.0,"(42.26234347168107, -76.7154577554267)",42.26234347168107,-76.7154577554267
220,"KINZIE AEROSPACE, INC.                            ",115 CHEESMAN ST                    ,                                   ,                                   ,ERIE                  ,CO,80516,2KZR,NM03,2KZR593C,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y, ACTIVE            , 22-JUL-2016, , ,1.0,0.0,0.0,3.0,"(40.00887935, -105.05693485)",40.00887935,-105.05693485
221,ARINWINE AIRCRAFT MAINTENANCE SERVICES LLC        ,6201 W. Imperial Hwy               ,                                   ,                                   ,Los Angeles           ,CA,90045,2L3R,WP23,2L3R850B,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 2-JUN-2011,  6417        ,  24-AUG-2021,42.0,0.0,10.0,52.0,"(33.96569918097599, -118.39908676879001)",33.96569918097599,-118.39908676879001
222,LEGACY AVIATION LLC                               ,47010 Great Planes Pl.             ,                                   ,                                   ,Tea                   ,SD,57064,2LAR,GL27,2LAR145L,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 1-DEC-2017, , ,2.0,0.0,1.0,3.0,"(43.445498517539235, -96.81925382299502)",43.445498517539235,-96.81925382299502
223,LOCKHEED MARTIN CORPORATION                       ,1801 STATE ROUTE 17C               ,                                   ,                                   ,OWEGO                 ,NY,13827,2LMR,EA23,2LMR437M,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 2-MAY-2012, , ,5.0,5.0,0.0,15.0,"(42.10868455526132, -76.25486320071619)",42.10868455526132,-76.25486320071619
224,LOWE AVIATION SERVICES LLC                        ,500 Aviation Way                   ,Hanger B5                          ,                                   ,Peachtree City        ,GA,30269,2LOR,SO11,2LOR017D,N,N,N,N,Y,N,Y,N,Y,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,Y,Y,N,Y,N,N,N,N,N,N,N, ACTIVE            , 24-JAN-2017, , ,9.0,0.0,2.0,14.0,"(33.39579625707473, -84.56844697632947)",33.39579625707473,-84.56844697632947
225,THE GLENMARK GROUP LLC                            ,1105-A INTERNATIONAL PLAZA         ,                                   ,                                   ,CHESAPEAKE            ,VA,23323,2LWR,EA21,2LWR432B,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N, ACTIVE            , 14-SEP-2009,  6383        ,  1-JAN-2020,1.0,0.0,1.0,4.0,"(36.741445, -76.345472)",36.741445,-76.345472
226,MEMPHIS AVIONICS                                  ,2488 WINCHESTER RD                 ,SUITE 1                            ,                                   ,MEMPHIS               ,TN,38116,2-Mar,CE21,2MAR183C,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 22-JAN-2014, , ,1.0,0.0,0.0,1.0,"(35.0649376, -90.0283684)",35.0649376,-90.0283684
227,MB AEROSPACE EAST GRANBY LIMITED PARTNERSHIP      ,39 Bradley Park Road               ,                                   ,                                   ,East Granby           ,CT,6026,2MBR,EA63,2MBR129D,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 24-APR-2017, , ,0.0,6.0,7.0,167.0,"(42.93500645, -87.90942935)",42.93500645,-87.90942935
228,TEXTRON AVIATION                                  ,5000 CARGO DRIVE                   ,                                   ,                                   ,COLUMBUS              ,GA,31907,2MYR,SO11,2MYR326C,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , , , ,0.0,2.0,55.0,57.0,"(32.47832007127764, -84.90581928903573)",32.47832007127764,-84.90581928903573
229,US AIRLINE SERVICES LLC                           ,"6055 SURREY STREET,                ",SUITE 102                          ,                                   ,LAS VEGAS             ,NV,89119,2NAR,WP19,2NAR619C,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 17-APR-2015,  6635        ,  26-MAY-2021,12.0,0.0,0.0,13.0,"(36.142788206841885, -114.88318002697628)",36.142788206841885,-114.88318002697628
230,NORTH FLORIDA AVIATION INC                        ,9300 Normandy Blvd. STE 300        ,                                   ,                                   ,Jacksonville          ,FL,32221,2NFR,SO15,2NFR237D,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 12-DEC-2017, , ,2.0,2.0,1.0,2.0,"(30.292633652177084, -81.81507078006533)",30.292633652177084,-81.81507078006533
231,NCAS INC                                          ,351 Industrial Park Blvd           ,                                   ,                                   ,Endicott              ,NY,13760,2NIR,EA23,2NIR157C,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 12-JAN-2017, , ,3.0,3.0,0.0,3.0,"(42.118364364804044, -76.04879446225293)",42.118364364804044,-76.04879446225293
232,NAPLES JET CENTER                                 ,377 Citation Point                 ,                                   ,                                   ,Naples                ,FL,34104,2NJR,SO19,2NJR936C,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 8-MAR-2017, , ,17.0,3.0,1.0,38.0,"(26.1568366, -81.7678012)",26.1568366,-81.7678012
233,TEXTRON AVIATION INC                              ,2450 NORTH WESTSHORE BLVD          ,                                   ,                                   ,TAMPA                 ,FL,33607,2NQD,SO35,2NQD918C,Y,N,Y,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,Y,Y,N,N,N,Y,N,N,N,N, ACTIVE            , 18-APR-2019, , ,97.0,6.0,8.0,131.0,"(27.973057, -82.58898)",27.973057,-82.58898
234,ORACLE AVIATION LLC                               ,12916 Millard Airport Plz          ,                                   ,                                   ,Omaha                 ,NE,68137,2OAR,CE09,2OAR358C,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 12-OCT-2017, , ,0.0,3.0,1.0,4.0,"(41.203441826701855, -96.12882781063128)",41.203441826701855,-96.12882781063128
235,OASIS AVIATION MAINTENANCE                        ,401 Aviation Parkway               ,                                   ,                                   ,Brunswick             ,GA,31525,2OHD,SO11,2OHD111C,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 29-MAR-2019, , ,1.0,0.0,1.0,2.0,"(31.1327589, -81.48477939596287)",31.1327589,-81.48477939596287
236,OASIS AVIATION MAINTENANCE                        ,68 Dale Pepper Drive               ,                                   ,                                   ,Newnan                ,GA,30263,2OHR,SO11,2OHR111C,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 19-APR-2013, , ,5.0,0.0,3.0,8.0,"(33.3765962, -84.7985552)",33.3765962,-84.7985552
237,ON WING LLC                                       ,511 AIRPORT ROAD                   ,                                   ,                                   ,WINCHESTER            ,VA,22602,2OWR,EA27,2OWR084C,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 8-APR-2013, , ,2.0,2.0,1.0,4.0,"(39.1805547, -78.2056813)",39.1805547,-78.2056813
238,COMPRESSED GAS SYSTEMS LLC                        ,6600 N.W. 12th Ave                 ,Suite 213                          ,                                   ,Fort Lauderdale       ,FL,33309,2OXD,SO19,2OXD229C,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N, ACTIVE            , 29-DEC-2015,  6708        ,  3-APR-2020,2.0,0.0,2.0,9.0,"(26.186066144658184, -80.17613233861884)",26.186066144658184,-80.17613233861884
239,COMPRESSED GAS SYSTEMS LLC                        ,10650 Humbolt Street               ,                                   ,                                   ,Los Alamitos          ,CA,90720,2OXR,WP05,2OXR229C,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N, ACTIVE            , 1-MAY-2012,  6416        ,  1-JUN-2020,0.0,6.0,6.0,16.0,"(33.79746640807789, -118.06783587190348)",33.79746640807789,-118.06783587190348
240,PREFLIGHT REPAIR SERVICES INC                     ,2552 LEE HIGHWAY                   ,                                   ,                                   ,MOUNT SIDNEY          ,VA,24467,2P1R,EA21,2P1R906B,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 29-JUL-2011,  6755        ,  1-JUN-2021,2.0,0.0,1.0,3.0,"(38.2622304721484, -78.96726299158784)",38.2622304721484,-78.96726299158784
241,PITOT STATIC SOLUTIONS LLC                        ,4530 POE ROAD                      ,                                   ,                                   ,MEDINA                ,OH,44256,2P5R,GL25,2P5R814B,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 15-MAR-2011, , ,1.0,1.0,0.0,1.0,"(41.145079047976495, -81.84638596332891)",41.145079047976495,-81.84638596332891
242,PULSAR AVIATION SERVICES INC                      ,255 S. LELAND NORTON WAY           ,                                   ,                                   ,SAN BERNARDINO        ,CA,92408,2PBR,WP21,2PBR941B,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 18-OCT-2011,  6444        ,  18-OCT-2020,36.0,0.0,4.0,40.0,"(34.07382124514118, -117.2696712662391)",34.07382124514118,-117.2696712662391
243,PALM SPRINGS AIRCRAFT MAINTENANCE                 ,145 N. GENE AUTRY TRAIL # 16       ,                                   ,                                   ,PALM SPRINGS          ,CA,92262,2PMR,WP21,2PMR909B,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 25-AUG-2011, , ,4.0,0.0,0.0,6.0,"(33.84081364403899, -116.5181767241602)",33.84081364403899,-116.5181767241602
244,PITOT STATIC GUYS LLC                             ,7510 ELATA AVENUE                  ,                                   ,                                   ,YUCCA VALLEY          ,CA,92284,2PUR,WP21,2PUR923B,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 5-DEC-2011, , ,0.0,1.0,2.0,3.0,"(34.129179, -116.3988225)",34.129179,-116.3988225
245,PRAIRIE SKY REPAIR STATION                        ,25173 LOWER FRENCH CREEK ROAD      ,                                   ,                                   ,CUSTER                ,SD,57730,2PYR,GL27,2PYR275C,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 17-JUN-2014, , ,0.0,2.0,0.0,2.0,"(43.76739742861694, -103.59221053097617)",43.76739742861694,-103.59221053097617
246,"SAFRAN NACELLES SERVICES AMERICAS, LLC            ",725 S. GIRLS SCHOOL ROAD.          ,                                   ,                                   ,INDIANAPOLIS          ,IN,46231,2QAR,GL11,2QAR348C,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 15-JAN-2015,  6641        ,  30-JUL-2021,0.0,1.0,0.0,10.0,"(39.73739400238203, -86.31366388694309)",39.73739400238203,-86.31366388694309
247,QUALITY  GRINDING CO. INC.                        ,6800 Caballero Blvd                ,                                   ,                                   ,Buena Park            ,CA,90620,2QGR,WP23,2QGR030D,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y, ACTIVE            , 22-MAY-2018, , ,0.0,5.0,0.0,5.0,"(33.839799902375056, -118.0138852997121)",33.839799902375056,-118.0138852997121
248,RAPID AVIONICS INC                                ,3843 Cook Hangar Lane              ,                                   ,                                   ,RAPID CITY            ,SD,57703,2R7R,GL27,2R7R200C,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,Y,Y,N,Y,N,N,N,N,N,N,N, ACTIVE            , 21-NOV-2013, , ,0.0,1.0,2.0,3.0,"(44.06910102874749, -103.16508768605006)",44.06910102874749,-103.16508768605006
249,RCO AEROSPACE PRODUCTS LLC                        ,15725 12 MILE ROAD                 ,                                   ,                                   ,ROSEVILLE             ,MI,48066,2RCR,GL23,2RCR028C,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 10-OCT-2012,  6698        ,  12-JUL-2020,2.0,0.0,2.0,4.0,"(42.4830895, -82.945092)",42.4830895,-82.945092
250,RENDRAG AVIATION LLC                              ,2347 Delray Road                   ,Hangar C2                          ,                                   ,Thomaston             ,GA,30286,2RGR,SO11,2RGR099C,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N, ACTIVE            , 17-DEC-2012, , ,1.0,1.0,1.0,3.0,"(32.900684, -84.339432)",32.900684,-84.339432
251,ROCKWELL COLLINS INC                              ,27300 SW Parkway Ave               ,                                   ,                                   ,Wilsonville           ,OR,97070,2RKR,NM09,2RKR356D,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 4-MAR-2020, , ,0.0,3.0,0.0,5.0,"(45.3306482, -122.7719198779103)",45.3306482,-122.7719198779103
252,RMZ AVIATION LLC                                  ,"155 B HIGHWAY 61, SE               ",                                   ,                                   ,CARTERSVILLE          ,GA,30120,2RZR,SO11,2RZR007C,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 13-JUN-2012, , ,1.0,0.0,0.0,4.0,"(34.1670948, -84.7890798)",34.1670948,-84.7890798
253,RESTORED AIRCRAFT SALES & SERVICES LLC            ,14500K Parallel Rd                 ,                                   ,                                   ,Basehor               ,KS,66007,2S0R,CE05,2S0R434D,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N, ACTIVE            , 13-FEB-2019,  6894        ,  9-SEP-2021,1.0,0.0,1.0,4.0,"(39.13622185576842, -94.94191557741375)",39.13622185576842,-94.94191557741375
254,SHENANDOAH AVIONICS LLC                           ,SHENANDOAH AVIONICS LLC            ,63 AVIATION CIRCLE                 ,SUITE 108                          ,WEYERS CAVE           ,VA,24486,2SAR,EA21,2SAR659Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 18-MAY-2007, , ,1.0,0.0,1.0,2.0,"(38.283492, -78.90727)",38.283492,-78.90727
255,SHELBY PERFORMANCE AVIATION INC                   ,32446 JOHN BEVERLY ROSE DRIVE      ,                                   ,                                   ,FRANKLIN              ,VA,23851,2SBR,EA21,2SBR016B,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 6-MAR-2008, , ,2.0,0.0,0.0,3.0,"(36.66989540591442, -76.94111972981445)",36.66989540591442,-76.94111972981445
256,GRYPHON AIRCRAFT SERVICES LLC                     ,37350 SKY CANYON DRIVE             ,HANGAR 2                           ,                                   ,MURRIETA              ,CA,92596,2SDR,WP21,2SDR271B,N,N,N,N,Y,N,Y,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 16-OCT-2008, , ,4.0,0.0,2.0,8.0,"(33.572161, -117.1031627)",33.572161,-117.1031627
257,SKYLOCK INDUSTRIES INC                            ,1290 WEST OPTICAL DR.              ,                                   ,                                   ,AZUSA                 ,CA,91702,2SIR,WP23,2SIR268B,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 16-JUL-2009, , ,0.0,2.0,2.0,5.0,"(34.12663812944905, -117.90593793134519)",34.12663812944905,-117.90593793134519
258,SATNAN AVIONICS                                   ,701 WEST NATIONAL GUARD DRIVE      ,                                   ,                                   ,SIOUX FALLS           ,SD,57104,2SNR,GL27,2SNR224B,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,Y,Y,N,Y,N,N,N,N,N,N,N, ACTIVE            , 12-SEP-2008, , ,2.0,2.0,1.0,5.0,"(43.5564382, -96.7274585)",43.5564382,-96.7274585
259,SPORTAIRUSA LC                                    ,8222 REMOUNT ROAD                  ,                                   ,                                   ,NORTH LITTLE ROCK     ,AR,72118,2SUR,SW11,2SUR495B,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 27-AUG-2010, , ,2.0,3.0,0.0,6.0,"(34.82177181864116, -92.3029438322164)",34.82177181864116,-92.3029438322164
260,SWIFT AVIONICS SERVICES INC                       ,20851 JOHNSON STREET SUITE 109     ,                                   ,                                   ,PEMBROKE PINES        ,FL,33029,2SVR,SO19,2SVR294B,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 4-SEP-2009, , ,0.0,2.0,1.0,5.0,"(26.0077471, -80.4127795)",26.0077471,-80.4127795
261,SOLOY HELICOPTERS LLC                             ,3800 West Aviation Ave.            ,                                   ,                                   ,WASILLA               ,AK,99654,2SYR,AL03,2SYR140N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 29-MAY-2015, , ,19.0,0.0,0.0,19.0,"(61.58363355, -149.45427938134483)",61.58363355,-149.45427938134483
262,TIA AERONAUTICS INC                               ,3306 Heritage Way                  ,                                   ,                                   ,Harlingen             ,TX,78550,2TIR,SW17,2TIR664C,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N, ACTIVE            , 29-JAN-2016, , ,3.0,1.0,4.0,11.0,"(26.19249045, -97.69518369993655)",26.19249045,-97.69518369993655
263,TOLEDO JET CENTER LLC                             ,3000 NW 59TH STREET                ,                                   ,                                   ,FT. LAUDERDALE        ,FL,33309,2TJD,SO19,2TJD420B,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N, ACTIVE            , 28-OCT-2011, , ,15.0,1.0,1.0,17.0,"(26.186066144658184, -80.17613233861884)",26.186066144658184,-80.17613233861884
264,TOLEDO JET CENTER LLC                             ,11591 WEST AIRPORT SERVICE ROAD    ,                                   ,                                   ,SWANTON               ,OH,43558,2TJR,GL25,2TJR420B,N,N,N,Y,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,Y,Y,N,N,N,Y,N,N,N,N, ACTIVE            , 6-JUL-2009, , ,21.0,4.0,4.0,30.0,"(41.5890675, -83.8808503)",41.5890675,-83.8808503
265,THE LEATHER INSTITUTE LLC                         ,61 Riordan Place                   ,                                   ,                                   ,Shrewsbury            ,NJ,7702,2TLR,EA25,2TLR995B,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 1-MAY-2015,  6701        ,  6-SEP-2020,0.0,9.0,5.0,13.0,"(32.5636561, -110.7266754)",32.5636561,-110.7266754
