,Name,AddressLine1,AddressLine2,AddressLine3,City,State,ZipCode,DesignatorCode,CertificateHoldingOffice,CertificateNumber,AccessoryRatingClass1,AccessoryRatingClass2,AccessoryRatingClass3,AccessoryRatingLimited,AirframeRatingClass1,AirframeRatingClass2,AirframeRatingClass3,AirframeRatingClass4,AirframeRatingLimited,InstrumentRatingClass1,InstrumentRatingClass2,InstrumentRatingClass3,InstrumentRatingClass4,InstrumentRatingLimited,PowerplantRatingClass1,PowerplantRatingClass2,PowerplantRatingClass3,PowerplantRatingLimited,PropellerRating1,PropellerRating2,PropellerRatingLimited,RadioRatingClass1,RadioRatingClass2,RadioRatingClass3,RadioRatingLimited,LimitedRatingEquipment,LimitedRatingAircraftFabric,LimitedRatingNonDestructiveTst,LimitedRatingFloats,LimitedRatingSpecializedServic,LimitedRatingRotorBlades,LimitedRatingLandingGear,Status,Original_Issue_Date,EASA_Certificate_Number,EASA_Expiration_Date,Certificated_Mechanics,Repairmen,Non_Certificated,Total_Employees,coords,lat,long
12,FLY HANGAR 13 LLC                                 ,12483 FM 1283                      ,                                   ,                                   ,MICO                  ,TX,78056,13HR,SW17,13HR972B,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 1-OCT-2012, , ,1.0,0.0,0.0,1.0,"(29.536302282265176, -98.92899500601833)",29.536302282265176,-98.92899500601833
13,AIR REPAIR LLC                                    ,"1 KAHULUI AIRPORT ROAD, # 105      ",                                   ,                                   ,KAHULUI               ,HI,96732,13IR,WP13,13IR077C,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N, ACTIVE            , 23-OCT-2012, , ,14.0,2.0,7.0,22.0,"(20.968467948671805, -156.74524189739304)",20.968467948671805,-156.74524189739304
14,"KOSTLEVY, FRANK                                   ",744 MAIN STREET                    ,                                   ,                                   ,CAROLINE              ,WI,54928,13PR,GL13,13PR698Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 22-MAR-2007, , ,1.0,1.0,0.0,1.0,"(44.735556691528394, -88.87998504624737)",44.735556691528394,-88.87998504624737
15,AVIATION ENGINEERING CONSULTANTS INC              ,2754 SUNSET POINT ROAD             ,                                   ,                                   ,CLEARWATER            ,FL,33759,15AR,SO35,15AR684Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 5-SEP-2012, , ,0.0,1.0,0.0,1.0,"(27.9748763, -82.7129601)",27.9748763,-82.7129601
16,INTERACTIVE CAD SERVICES INC                      ,2101 North Yellowood Ave           ,                                   ,                                   ,BROKEN ARROW          ,OK,74012,15IR,SW15,15IR075B,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 16-SEP-2008, , ,1.0,1.0,1.0,3.0,"(36.06697455, -95.78030616999372)",36.06697455,-95.78030616999372
17,LUFTHANSA TECHNIK COMPONENT SERVICES              ,7424 EAST 30TH STREET NORTH        ,                                   ,                                   ,TULSA                 ,OK,74115,15LR,SW15,15LR725Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N, ACTIVE            , 31-OCT-2007,  6088        ,  1-DEC-2015,27.0,66.0,187.0,282.0,"(36.182388, -95.8835378)",36.182388,-95.8835378
18,AV-COM AVIONICS LLC                               ,"45 Airport Way, Hanger E-2         ",                                   ,                                   ,Dallesport            ,WA,98617,169R,NM09,169R929C,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 27-JUN-2016, , ,1.0,0.0,0.0,1.0,"(45.619159179701626, -121.15321247731445)",45.619159179701626,-121.15321247731445
19,PARAGON NDT LLC                                   ,2210 S. Edwards St.                ,                                   ,                                   ,Wichita               ,KS,67213,172R,CE07,172R877C,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N, ACTIVE            , 16-FEB-2016, , ,0.0,2.0,0.0,4.0,"(37.67516209367227, -97.36506279377552)",37.67516209367227,-97.36506279377552
20,GOSHEN AIR CENTER                                 ,17229 COUNTY ROAD 42               ,                                   ,                                   ,GOSHEN                ,IN,46525,17GR,GL09,17GR159B,N,N,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , , , ,2.0,0.0,1.0,6.0,"(33.532005, 131.3496745)",33.532005,131.3496745
21,ALPHA AIRCRAFT SERVICES OF AMERICA INC            ,2317 FM 758                        ,NEW BRAUNELS MUNICIPAL AIRPORT     ,                                   ,NEW BRAUNFELS         ,TX,78130,17LR,SW17,17LR247B,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 15-DEC-2009, , ,3.0,0.0,3.0,7.0,"(29.7021837, -98.1412445)",29.7021837,-98.1412445
